Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C6",0603,4,4.7u,
"C2, C5, C9",0603,3,100n,
"C7, C8, R2",0603,3,DNP,
"D1, D2",0603,2,LED,
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,JST PH 2.0,
J3,CONN_3220-10-0100-00_CNC,1,Cortex,
J4,PinHeader_1x13_P2.54mm_Vertical,1,Conn_01x13_Pin,
J5,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,SMA,
J6,CONN_JST-BM04B-SRSS-TB,1,Conn_01x04_Qwiic,
J7,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09_Pin,
"L1, R3",0603,2,0,
"R1, R4, R5",0603,3,470,
"R6, R7",0603,2,4.7k,
"SW1, SW2, SW3",SW_Push_PTS815_SJM_250_SMTR_LFS,3,PTS815,
U1,SOT-23-5,1,MIC5318-3.3YD5,
U2,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22HH,
U3,Wio-E5,1,Wio-E5,
