Designator,Mid X,Mid Y,Rotation,Layer
C1,152.0,-150.775,270.0,top
C2,150.0,-150.775,270.0,top
C3,142.5,-132.675,90.0,top
C4,142.5,-129.225,90.0,top
C5,145.725,-129.0,180.0,top
C6,148.5,-139.275,270.0,top
C9,157.6,-132.325,90.0,top
D1,148.5,-129.1875,270.0,top
D2,150.6,-129.1875,270.0,top
J1,140.0,-131.0,90.0,bottom
J3,140.635,-141.54,270.0,top
J4,155.24,-125.0,90.0,top
J5,170.5,-140.5,0.0,top
J6,141.6,-154.382201,180.0,top
J7,159.82,-154.5,90.0,top
L1,166.5,-143.2125,90.0,top
R1,148.5,-132.275,90.0,top
R3,146.5,-154.325,270.0,top
R4,157.6,-129.225,270.0,top
R5,150.6,-132.275,90.0,top
R6,148.5,-146.825,270.0,top
R7,147.675,-143.5,180.0,top
SW1,165.525001,-130.749999,90.0,top
SW2,154.174999,-130.749999,90.0,top
SW3,161.025001,-130.749999,270.0,top
U1,145.45,-132.3125,270.0,top
U2,147.25,-150.7625,270.0,top
U3,157.4675,-142.295,0.0,top
